"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"Q9BST9-2","RTKN","Isoform 2 of Rhotekin",1.8493732800112e-08,-0.556282291208055,-0.16745765571031,1.36778219089241e-07,6.86398305526559,"Unchanged"
"Q9BSU1","PHAF1","Phagosome assembly factor 1",0.0196258330359645,0.182317264793857,0.0548829654303638,0.034839265288927,1.45793101222721,"Unchanged"
"Q9BSV6","TSEN34","tRNA-splicing endonuclease subunit Sen34",0.0418724566969988,-0.18884020686157,-0.0568465666527236,0.0678483413287289,1.16846076496202,"Unchanged"
"Q9BSW7","SYT17","Synaptotagmin-17",9.19833052128385e-07,0.443556782198679,0.133523896221998,4.65180427609755e-06,5.33237856642833,"Unchanged"
"Q9BT09","CNPY3","Protein canopy homolog 3",0.75540760465686,-0.0202798705103566,-0.00610484933179876,0.804422156480725,0.0945159759857893,"Unchanged"
"Q9BT22","ALG1","Chitobiosyldiphosphodolichol beta-mannosyltransferase",0.0213959092824569,-0.254798481972452,-0.0767019859233563,0.0375654617126783,1.42521126892894,"Unchanged"
"Q9BT78","COPS4","COP9 signalosome complex subunit 4",0.482514891867539,0.0289759318225968,0.00872262463091616,0.561848288926248,0.25038093741468,"Unchanged"
"Q9BT88","SYT11","Synaptotagmin-11",0.122470211518026,-0.0988740697923198,-0.0297640608008622,0.174418836362346,0.758406615237843,"Unchanged"
"Q9BTA9","WAC","WW domain-containing adapter protein with coiled-coil",0.0354928466634066,-0.219080035357674,-0.0659496620937855,0.058641465016985,1.23179518842073,"Unchanged"
"Q9BTC0","DIDO1","Death-inducer obliterator 1",0.0759625776918448,-0.163709275363857,-0.0492814024529354,0.114500338515173,0.941193229349819,"Unchanged"
